,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,budget_x,actor_2_facebook_likes,movie_facebook_likes,before_premiere_trends,director,writer,producer,composer,cinematographer,main_actor_4,worldwide,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,mpaa_G,mpaa_NC-17,mpaa_PG,mpaa_PG-13,mpaa_R
337,2.064844142787285,4.855238226919337,-0.02922580877428613,691,1.0035923215444693,420,1.3017798005465746,997,0.8257954663563629,1.7999513419140811,0.5676477788602118,0.8204777488358327,535,1123,99,162,305,830,0.7003625777366616,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
338,0.5644910544788075,-0.26259072619471485,-0.06215984360341363,965,0.5914822337238749,567,0.37364285375341555,142,0.7883803450640132,-0.3010530194703562,-0.512893361390567,1.4015035084857796,64,608,764,383,235,562,0.18209123336371416,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
339,2.414926530059263,6.059433274710878,-0.19590415577535825,397,0.4369409507911519,573,0.24399513730910855,605,0.6354057987192367,-0.3010530194703562,1.499148761835021,0.0651442612909015,185,1035,129,395,208,1138,0.29163067786074853,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
340,0.9145734417507856,-0.26259072619471485,-0.1388720466810155,326,0.5914822337238749,567,0.39508330298451544,1038,0.7091963305479957,-0.30472977710277893,0.23230742498928045,0.12324683725589622,307,778,768,150,361,829,1.7040771782631499,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
342,1.564726446684459,-0.1617393909421732,-0.1758224272210122,94,0.07634462394813175,498,-0.049052252767525964,887,0.6379248902938949,-0.3458744458465575,-0.512893361390567,-0.34157377046406145,808,674,735,254,333,923,-0.37412569577804006,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
343,1.564726446684459,-0.1617393909421732,-0.1758224272210122,94,0.07634462394813175,498,-0.04901037689012148,887,0.6379248902938949,-0.3458744458465575,-0.512893361390567,-0.34157377046406145,808,674,735,254,333,923,-0.37412569577804006,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
344,-0.7358149553885395,-0.25626870219380926,-0.22883819060448574,491,0.12785838492570606,418,0.028292492798570625,264,1.7504632073222632,-0.3357195914331994,-0.512893361390567,-0.34157377046406145,279,1043,225,172,478,242,0.2754837544521669,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
345,0.5644910544788075,-0.26259072619471485,-0.06175820903232671,1022,0.02483086297055744,655,-0.016598447779044723,1172,0.4388389056045724,-0.3010530194703562,-0.512893361390567,-0.051060890639087905,102,167,283,203,329,708,0.21009495847660256,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
346,0.16439689759654688,-0.19605894980423216,-0.22883819060448574,911,0.07634462394813175,7,-0.046707203632874415,705,0.7472578227746672,-0.37108649818317074,-0.512893361390567,-0.34157377046406145,217,9,314,346,306,936,0.2233612497765485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
347,-0.18568548967543116,-0.26259072619471485,-0.02922580877428613,9,0.6429959947014492,536,0.8712539049509931,644,0.4611602387726945,1.4497839483500083,0.9402481720501353,-0.051060890639087905,123,1056,559,159,19,982,0.25886536684165573,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
348,1.814785294735872,3.9520919410756807,-0.15734723695101385,1067,-0.33576546387246275,252,-0.34942792138994655,707,1.2748433927275693,-0.3217128956906365,-0.10303292888165087,-0.34157377046406145,783,103,97,209,201,1087,0.5519524584192843,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
349,-1.0858973426605176,-0.24753828809732056,-0.2537395340118748,830,-0.4547107379696818,454,-0.4999717006590951,786,0.9498956882019285,-0.37651409278341386,-0.4760804425434025,-0.34157377046406145,688,233,39,259,371,1170,0.21347967116925357,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350,0.46446751525824237,-0.046136666354185216,-0.2609689562914394,586,-0.44739578391086626,251,-0.5111106840486899,606,1.2033815155847163,-0.36688448946040186,-0.512893361390567,-0.34157377046406145,627,353,8,185,242,720,0.32068641929453423,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
352,-0.18568548967543116,-0.23639948390524881,-0.06215984360341363,622,-0.07819665898459119,432,-0.15407695329799173,142,0.5646195078608002,-0.30875670212876577,0.5303877395412194,0.12324683725589622,801,695,559,24,418,920,0.10743199383150724,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
353,0.3644439760376772,-0.2321848012379784,0.7740433333995553,70,0.4369409507911519,242,0.7785825882548525,338,1.063959653115697,1.4497839483500083,-0.512893361390567,-0.34157377046406145,346,269,474,9,124,236,0.09547254144037469,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355,0.21440866720682947,-0.26259072619471485,-0.31800106538578216,232,-0.33576546387246275,188,-0.40449470017685346,710,1.081979557909421,-0.3127836271547526,-0.512893361390567,-0.34157377046406145,95,685,799,129,425,257,-0.12774667174507184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
356,-0.6858031857782569,-0.2303785086662911,-0.2902882799807846,1057,0.07634462394813175,45,-0.10428653506405082,1251,0.6354057987192367,-0.3780898460544522,0.19504738567028806,2.0987344200657163,110,125,115,205,372,683,1.4230642565260407,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
358,1.7147617555153067,0.339506797701056,-0.21518261518753043,157,-0.45527738934043516,528,-0.5041174125221397,1058,0.8225375133087676,-0.36145689486015875,-0.512893361390567,0.18134941322089093,714,179,108,385,407,975,-0.20220787106683663,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
360,1.5147146770741764,-0.14879429417841414,-0.19028127178014134,715,0.12785838492570606,308,-0.03154813601244834,859,0.8814573092536676,-0.3103324553998041,-0.512893361390567,-0.34157377046406145,277,656,435,327,232,213,0.0329206644779926,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
361,1.664749985905024,-0.26259072619471485,-0.32161577652556445,805,0.282399667858429,656,0.053459895118670275,915,1.081979557909421,-0.4043524005717577,0.34408754294625754,-0.34157377046406145,701,1116,798,9,136,739,1.675769040348766,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
362,-0.085661950454866,-0.03680415473380077,-0.04087321133580683,419,2.0338675410959555,572,2.363249540995636,370,1.0401344826455032,3.0255372193883363,-0.512893361390567,2.2730421479607004,287,372,89,205,121,1046,1.1643769236240085,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
363,-0.085661950454866,-0.10574432121986653,-0.3790495201909941,496,0.17937214590328038,461,-0.01676595128866269,931,0.5725126583501077,-0.3351943403428533,-0.512893361390567,0.0651442612909015,622,925,630,205,333,159,0.7588877561443622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
364,0.3144322064273946,-0.26259072619471485,-0.2416904968792672,110,0.07634462394813175,79,-0.06421132038795205,374,0.9181285317815487,-0.3010530194703562,-0.512893361390567,-0.34157377046406145,782,365,359,100,435,843,1.742638484507666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
366,-0.9358620338296698,-0.1825117555165773,3.9871199020949213,9,0.12785838492570606,625,0.9455835873439663,628,0.5050392997523221,1.4497839483500083,0.5303877395412194,-0.34157377046406145,283,854,585,260,478,1113,0.8247554601303111,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
367,-0.13567372006514858,-0.25175297076459097,-0.38346750047295025,991,-0.4757283524485321,307,-0.5820484203718992,417,0.6811533681945434,-0.4512748313093434,-0.512893361390567,0.8785803248008274,483,79,68,8,136,966,0.9103066311807911,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
368,0.264420436817112,-0.2388078740008319,-0.10152003156993186,892,0.4369409507911519,180,0.9076859182929011,1077,0.5050392997523221,2.3252024322601903,0.19504738567028806,-0.22536861853407203,166,244,733,325,333,1218,0.1618431773746831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
369,-0.48575610733712665,-0.25175297076459097,-0.25454280315404865,352,-0.3872792248500371,270,-0.43464533190808763,588,0.9605776002341252,-0.33694517731067364,-0.49903262676390175,-0.34157377046406145,483,278,263,104,7,39,0.2833216342304727,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,-0.2857090288959963,-0.13615024617660296,-0.21598588432970428,384,-0.3872792248500371,467,-0.4519819451535473,655,0.3456288855583802,-0.3175108869678676,-0.512893361390567,-0.34157377046406145,92,4,108,72,102,23,-0.06721770452394325,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
371,1.4146911378536113,-0.1788991703732027,-0.34531221621969277,888,0.2308859068808547,374,0.11983316080478998,1086,0.7186259582117926,0.04911437409371667,0.19504738567028806,0.762375172870838,586,804,114,150,125,500,0.2725589384292223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
372,0.5144792848685249,-0.1788991703732027,-0.0440862879045022,420,0.07634462394813175,474,0.027831858147121212,1273,0.608504552170557,-0.12596932268831976,-0.512893361390567,-0.34157377046406145,586,804,604,157,235,625,0.27265045993241455,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
373,-1.3359561907119304,-0.25416136086017405,-0.18024040750296833,285,-0.28425170289488844,352,-0.3551230407169575,537,0.7186259582117926,-0.36233231334406896,-0.4807379474582765,-0.16726604256907732,705,1024,585,325,478,435,0.2474262951080149,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
374,1.464702907463894,-0.21201453418747007,-0.02922580877428613,997,0.2308859068808547,374,0.3209629999785647,833,0.4395606326180625,0.3992817676577895,1.312848565240059,0.12324683725589622,591,330,505,221,18,512,0.46638787714899205,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
375,1.0646087505816333,-0.1969620960900758,-0.41921297729968615,385,-0.23273794191731412,72,-0.39607764881855057,243,0.5138516893760587,-0.47000878686502134,-0.512893361390567,-0.34157377046406145,360,483,342,169,387,1005,-0.21831477081392647,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
376,-0.2857090288959963,-0.10243278483843979,-0.20714992376579203,884,0.12785838492570606,194,0.09918835324437546,398,0.8358317232881602,0.04911437409371667,-0.512893361390567,-0.34157377046406145,636,879,514,155,452,1061,-0.32525602986894653,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
377,1.7647735251255894,-0.1867264381838477,-0.34651711993295353,659,-0.44502615090589787,423,-0.5101056629909821,674,0.7568854726194041,-0.35515388177600543,-0.512893361390567,0.5880674449758538,686,934,505,209,135,1159,0.07174633956859613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
378,-0.085661950454866,-0.23278689876187417,-0.3617792336342565,861,-0.45568949942825576,553,-0.5486314702031146,652,0.8765525587623751,-0.4456721530123183,-0.47783166439139513,-0.34157377046406145,28,944,185,144,2,362,-0.33032627000512815,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
379,-0.18568548967543116,-0.03289052082847826,-0.10593801185188799,760,-0.07819665898459119,364,-0.13012395142262234,292,0.5050392997523221,-0.3210125609035083,0.1577873463512957,0.0651442612909015,792,696,78,8,59,922,0.05132346772680028,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
380,0.11438512798626431,0.03845803575317058,-0.14208512324971087,584,0.02483086297055744,43,-0.07849099458288379,373,0.08019323310303571,-0.3010530194703562,0.8284680540931583,-0.34157377046406145,239,753,247,308,50,83,-0.5367479408880194,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
381,1.2646558290227636,-0.25175297076459097,-0.38828711532599325,990,-0.4442534444912342,244,-0.549510863628609,1006,0.26551189871931846,-0.41573284086259005,-0.512893361390567,-0.34157377046406145,428,182,734,75,228,170,-0.365050601458554,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
382,-0.03565018084458343,-0.23609843514330092,-0.20152703977057512,449,-0.45883183884788775,408,-0.49176402868781466,217,0.47496976953294245,-0.372487167757427,-0.4989581066852638,-0.34157377046406145,647,503,108,104,126,612,0.18556474817478918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
383,-1.1859208818810827,-0.2424204591442065,-0.32201741109665133,629,-0.28425170289488844,594,-0.3436490503081267,868,0.8532606971269837,-0.12596932268831976,-0.512893361390567,-0.34157377046406145,663,453,132,104,109,774,0.7407329486100673,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
386,-0.13567372006514858,-0.21653026561668837,-0.33727952479795437,166,0.07634462394813175,7,-0.0779466081766254,665,0.397117433778082,-0.3010530194703562,-0.25207308615762036,0.12324683725589622,264,1027,314,346,126,304,0.44664913757435093,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
387,-1.385967960322213,-0.24392570295394594,-0.18385511864275061,921,-0.4400808298520507,279,-0.47049108296633274,682,0.5732969469984263,-0.3430731066980449,-0.512893361390567,-0.34157377046406145,87,941,661,73,434,525,-0.23872204069296252,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
388,-1.0858973426605176,-0.1969620960900758,-0.22160876832492116,407,0.3854271898135776,402,0.3057620564807341,1195,0.6444515170513022,0.2241980708757531,-0.512893361390567,0.35565714111587504,230,260,504,205,41,1002,0.32314404907308025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
389,0.5144792848685249,-0.26259072619471485,-0.36659884848729957,424,-0.33576546387246275,607,-0.4576770644805582,150,0.6444515170513022,-0.4465475714962285,-0.40111324343358984,-0.34157377046406145,305,394,474,92,181,613,0.050843496315207785,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390,2.614973608500393,6.059433274710878,-0.2320512671731811,436,0.5914822337238749,567,0.936622149579405,78,0.2612924156203212,2.150118735478154,-0.0657728895626585,-0.051060890639087905,185,462,129,106,185,88,-0.34099271176193297,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
391,0.6645145936993726,-0.24603304428758113,-0.04689772990211064,726,-0.33576546387246275,568,-0.3652570030488445,1204,0.8877364256289478,-0.3054301118899071,-0.512893361390567,-0.34157377046406145,711,185,406,399,363,888,-0.2120672643649627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
392,-0.43574433772684407,-0.1743834389439844,-0.02922580877428613,964,0.07634462394813175,498,0.2811809164442974,760,0.7445805513571456,0.7494491612218623,-0.512893361390567,-0.34157377046406145,825,1027,563,199,126,988,1.8210589457006432,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
393,0.16439689759654688,3.6510431791277953,1.577312475573397,976,0.8490510386117465,302,1.3313860458715505,582,0.4746762042193482,1.7999513419140811,1.610928879791998,1.8663241162057376,789,227,64,54,211,333,0.5060604904199193,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
394,1.6147382162947417,-0.14879429417841414,-0.19992050148622745,532,1.261161126432341,317,1.4815948181214629,81,0.37259147787011543,1.9750350386961175,4.703512143268365,0.762375172870838,277,352,615,172,455,1134,2.306805332080177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
395,-0.3857325681165615,-0.11808732045972983,-0.24570684259013642,690,0.2308859068808547,80,0.06623203772704031,873,0.4422211899453325,-0.3588306394084282,1.5736688404730057,-0.34157377046406145,814,191,169,72,269,676,1.8864371238992617,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
396,-1.2359326514913653,-0.18582329189800406,-0.252936264869701,459,-0.43879298582761134,644,-0.479452520730894,310,0.7600932505854178,-0.3828171058675672,-0.512893361390567,-0.34157377046406145,209,154,152,9,478,311,0.7271237388320644,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
398,0.3144322064273946,-0.2556666046699135,-0.3866805770416456,81,0.17937214590328038,91,0.44633937692761355,427,0.45342782865368675,1.6248676451320447,0.3068275036272652,-0.28347119449906677,211,567,498,9,152,89,-0.11622943596386899,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
399,0.16439689759654688,-0.23609843514330092,-0.2617722254336132,967,0.07634462394813175,7,-0.036363861913964915,275,0.6912334319300403,-0.3996251407586427,-0.512893361390567,0.4718622930458644,647,15,314,376,126,927,0.22082402725874134,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
400,-1.1359091122708,-0.2532582145743304,-0.13646223925449397,481,-0.43879298582761134,35,-0.4392098025451773,734,0.3456288855583802,-0.3010530194703562,-0.512893361390567,-0.34157377046406145,577,574,710,260,446,542,0.7873377566504165,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401,-0.43574433772684407,-0.19605894980423216,3.9871199020949213,9,0.12785838492570606,625,1.0346535785833206,628,0.37930004251561134,1.4497839483500083,0.008747189075326236,-0.22536861853407203,217,345,314,346,442,314,0.3110457172959559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402,0.014361588765699148,-0.23609843514330092,3.9871199020949213,315,0.17937214590328038,67,1.2661853047527565,72,0.5416452113279374,1.6248676451320447,-0.512893361390567,0.7042725969058432,647,1078,570,399,126,344,0.34976086360147224,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,0.9145734417507856,-0.1788991703732027,-0.29309972197839307,514,0.4369409507911519,380,0.33993277244279957,957,0.7217677583743919,0.2241980708757531,-0.512893361390567,-0.34157377046406145,586,804,114,150,305,54,0.6550601358259995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
404,1.4146911378536113,4.855238226919337,-0.3653939447740388,528,1.0035923215444693,420,0.6291275817982208,907,0.4746762042193482,-0.4370930518699985,1.4618887225160286,1.2852983565557903,535,650,105,414,392,112,0.5995512908856525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
406,-0.9358620338296698,-0.23940997152472765,-0.34732038907512736,313,-0.43879298582761134,330,-0.5342261683759695,961,0.5380453369881917,-0.4216856865531793,-0.512893361390567,0.0651442612909015,130,942,357,205,478,1046,0.5832440090101932,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
407,-0.5357678769474092,-0.2135197779972095,-0.2320512671731811,172,0.07634462394813175,7,-0.07246086823663696,679,0.5416452113279374,-0.32398898374880297,-0.512893361390567,-0.10916346660408262,3,734,314,346,306,462,0.264395816173853,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
408,0.3644439760376772,-0.26259072619471485,-0.10232330071210571,472,0.282399667858429,656,0.09491701374911728,752,0.7600932505854178,-0.3010530194703562,-0.512893361390567,-0.34157377046406145,726,741,718,385,88,764,0.2268392292491833,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
409,0.3644439760376772,-0.19605894980423216,-0.22883819060448574,96,0.07634462394813175,7,0.07385344741465784,705,0.4422211899453325,0.04911437409371667,0.19504738567028806,0.0070416853259068,217,33,314,346,442,940,0.21205024483035834,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
410,0.4144557456479598,-0.21622921685474047,-0.0633647473166744,364,-0.33576546387246275,580,-0.3737159302845519,170,0.5416452113279374,-0.30420452601243286,-0.512893361390567,0.5299648690108592,155,535,630,54,104,874,0.10092078011812347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
411,2.2148794516181325,-0.162341488466069,5.995292757529525,757,0.6429959947014492,542,1.9492646169748287,199,0.698954965391638,3.0255372193883363,-0.512893361390567,-0.34157377046406145,46,139,10,137,233,359,0.1641479006123731,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
412,0.4144557456479598,-0.22736802104681225,3.585485331008001,737,0.4369409507911519,180,1.266143428875352,432,0.4746762042193482,2.150118735478154,0.23230742498928045,-0.34157377046406145,10,354,112,39,136,434,-0.03354974446582717,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
413,-0.8358384946091046,-0.20569251018656448,-0.41559826615990386,412,-0.43879298582761134,575,-0.5567135145421817,1252,0.2899479256335118,-0.44514690192197215,-0.512893361390567,-0.051060890639087905,751,668,699,72,238,384,0.06408109607645729,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
414,-0.2857090288959963,-0.1719750488484013,-0.4023443253140355,516,0.4369409507911519,380,0.319622971901621,653,0.5416452113279374,0.2241980708757531,-0.512893361390567,2.7378627556806583,734,261,635,401,124,510,0.36130420141766684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
415,-0.2857090288959963,-0.1719750488484013,-0.4023443253140355,516,0.4369409507911519,380,0.319622971901621,653,0.5416452113279374,0.2241980708757531,-0.512893361390567,-0.34157377046406145,734,261,635,401,124,510,0.36130420141766684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
416,1.214644059412481,-0.1265166857942706,-0.15092108381362312,639,0.07634462394813175,79,0.24495828248941187,590,0.1309973700452699,0.9245328580038988,2.5424298627668076,0.12324683725589622,180,231,176,371,400,886,0.1403102973171116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
417,-1.485991499542778,-0.2505487757167994,-0.2802474157036116,1016,-0.33576546387246275,371,-0.4257676458983354,648,0.4746762042193482,-0.36373298291832523,-0.512893361390567,-0.34157377046406145,248,440,226,199,347,1195,0.17983711909419586,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
418,-1.3359561907119304,-0.25626870219380926,-0.2320512671731811,186,0.17937214590328038,461,-0.012578363548213498,1270,0.7600932505854178,-0.3880696167710283,-0.36385320411459743,-0.34157377046406145,471,532,347,150,478,211,-0.09044693679993626,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
419,-0.3857325681165615,-0.21653026561668837,-0.3228206802388252,620,-0.33576546387246275,580,-0.3839755202486524,912,0.4422211899453325,-0.3010530194703562,-0.512893361390567,-0.34157377046406145,264,817,817,346,306,705,0.00898664478695601,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
420,0.9645852113610681,-0.13073136846154101,-0.22923982517557265,307,0.4369409507911519,180,0.23009234601081724,641,0.6842305475898416,-0.3010530194703562,-0.512893361390567,0.0651442612909015,439,894,413,323,439,721,-0.25534164999722775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
421,-1.035885573050235,-0.1825117555165773,-0.08585628329754195,9,0.12785838492570606,625,0.514136422445486,407,0.3189406097710042,1.4497839483500083,0.08326726771331097,-0.10916346660408262,283,930,585,260,478,713,1.2116794243263043,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
422,-0.6858031857782569,-0.2550645071460177,-0.38989365361034095,27,-0.44440798577416696,450,-0.5294104424744529,649,0.7600932505854178,-0.36425823400867136,-0.40111324343358984,-0.34157377046406145,753,400,818,226,139,992,-0.08411816133423479,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
423,-0.5357678769474092,-0.24543094676368538,-0.10152003156993186,301,0.5399684727463006,266,0.47657376041365673,1077,0.7992235781328754,0.04911437409371667,-0.512893361390567,-0.34157377046406145,224,999,412,316,338,337,0.05943622859977525,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
424,0.9645852113610681,-0.18492014561216039,-0.3653939447740388,770,-0.3872792248500371,478,-0.489837738327208,10,0.5380453369881917,-0.4276385322437685,-0.4774590639982052,-0.16726604256907732,534,933,472,169,357,27,-0.02947780265441223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
425,-0.9858738034399523,-0.24302255666810227,-0.16658483208601302,518,0.07634462394813175,7,0.4450831006054788,854,0.8391756425588296,1.4497839483500083,-0.512893361390567,-0.34157377046406145,779,1056,314,376,442,1024,-0.4259723898976282,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
426,0.4144557456479598,-0.26259072619471485,-0.0810366684444989,409,0.17937214590328038,461,0.5256522887317212,777,0.8225375133087676,1.7999513419140811,-0.512893361390567,-0.22536861853407203,797,303,166,94,329,987,-0.21865257928388912,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427,-1.035885573050235,-0.23730263019109246,-0.02922580877428613,296,0.17937214590328038,91,0.14952315788457476,136,0.5078127737931182,-0.3010530194703562,-0.512893361390567,-0.10916346660408262,447,767,552,333,333,1060,-0.18110077766465485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
